repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,archived,latest_release_age_days,latest_release_at,label
AMAP-ML/DreamX-Creator,2,1,0,0,8,1,0,0,0,,,
AMAP-ML/LongHorizon-Harness,16,1,20.0,75.8,40,10,1,1,0,16,2026-08-20T12:37:01Z,
AMAP-ML/LoopArena,2,1,0,0,6,1,1,1,0,,,
AMAP-ML/SkillClaw,19,2,36.8,97.0,12,14,1,1,0,,,
AMD-AGI/AgentKernelArena,0,4,61.1,88.4,100,26,1,1,0,49,2026-07-17T19:06:40Z,
AMD-AGI/Hyperloom,0,3,80.0,75.0,100,72,1,1,0,10,2026-08-26T11:57:05Z,
AML-memory/agent-memory-leaderboard,9,1,0,0,1,1,0,0,0,,,
AMRITO-KUNDU/llmscribe,0,1,0,0,4,1,1,1,0,,,
AOSSIE-Org/Gitcord-GithubDiscordBot,0,1,71.4,75.9,100,10,1,1,0,,,
ARA-Labs/Agent-Native-Research-Artifact,11,2,33.3,91.3,100,9,1,1,0,,,
ARPAHLS/skillware,1,1,58.2,89.5,100,25,1,1,0,1,2026-09-03T16:19:34Z,
ARahim3/kaggle-tpu-lab,1,1,0,0,8,1,0,0,0,,,
ARahim3/mlx-dspark,4,1,34.8,20.0,100,3,1,1,0,4,2026-09-01T10:54:45Z,
ARahim3/mlx-tune,74,1,37.5,0,1,1,0,1,0,74,2026-06-23T12:24:30Z,
ASLP-lab/CN-MultiDialect-ASR,0,1,0,0,42,2,0,0,0,,,
ASTRAL-Group/MonitorBench,0,1,0,0,1,2,0,0,0,,,
AVADSA25/codec,0,1,0,100.0,100,4,1,1,0,99,2026-05-29T09:25:09Z,
Aahan215/ByteRideFinanceAssistant,0,1,0,0,60,3,1,1,0,,,
AaravKashyap12/advise-project-approach,5,1,0,0,16,1,1,1,0,5,2026-08-30T23:54:10Z,
AaronGIG/pdf2zh-desktop,1,1,84.6,100.0,61,3,0,1,0,1,2026-09-04T05:09:51Z,
AaronL725/grok-register,1,1,100.0,72.1,100,5,1,1,0,,,
AaronWong1999/hermesclaw,11,1,87.5,0,2,2,0,1,0,82,2026-06-15T11:50:53Z,
Aaryanverma/graybox,10,1,100.0,87.5,79,3,1,1,0,22,2026-08-13T13:38:37Z,
AbdelStark/worldforge,2,1,31.1,93.5,2,7,1,1,0,,,
AbdulkadirKhoujja/codeinstitute-milestone-3-project,0,1,0,0,100,1,0,1,0,,,
